Sat Apr  1 08:30:00 2017,28.0,23.0
Sat Apr  1 08:31:00 2017,30.0,23.0
Sat Apr  1 08:32:00 2017,28.0,23.0
Sat Apr  1 08:33:00 2017,28.0,23.0
Sat Apr  1 08:34:00 2017,28.0,23.0
Sat Apr  1 08:35:00 2017,28.0,23.0
Sat Apr  1 08:36:00 2017,28.0,23.0
Sat Apr  1 08:37:02 2017,28.0,23.0
Sat Apr  1 08:38:00 2017,27.0,23.0
Sat Apr  1 08:39:00 2017,28.0,23.0
Sat Apr  1 08:40:00 2017,28.0,23.0
Sat Apr  1 08:41:00 2017,28.0,23.0
Sat Apr  1 08:42:00 2017,28.0,23.0
Sat Apr  1 08:43:00 2017,28.0,23.0
Sat Apr  1 08:44:00 2017,28.0,23.0
Sat Apr  1 08:45:00 2017,28.0,23.0
Sat Apr  1 08:46:02 2017,28.0,23.0
Sat Apr  1 08:47:00 2017,27.0,23.0
Sat Apr  1 08:48:00 2017,28.0,23.0
Sat Apr  1 08:49:00 2017,28.0,23.0
Sat Apr  1 08:50:00 2017,28.0,23.0
Sat Apr  1 08:51:02 2017,28.0,23.0
Sat Apr  1 08:52:00 2017,27.0,23.0
Sat Apr  1 08:53:00 2017,28.0,23.0
Sat Apr  1 08:54:00 2017,28.0,23.0
Sat Apr  1 08:55:02 2017,28.0,23.0
Sat Apr  1 08:56:00 2017,27.0,23.0
Sat Apr  1 08:57:00 2017,28.0,23.0
Sat Apr  1 08:58:00 2017,28.0,23.0
Sat Apr  1 08:59:02 2017,28.0,23.0
Sat Apr  1 09:00:00 2017,27.0,23.0
Sat Apr  1 09:01:00 2017,28.0,23.0
Sat Apr  1 09:02:00 2017,28.0,23.0
Sat Apr  1 09:03:00 2017,29.0,23.0
Sat Apr  1 09:04:00 2017,28.0,23.0
Sat Apr  1 09:05:02 2017,28.0,23.0
Sat Apr  1 09:06:00 2017,27.0,23.0
Sat Apr  1 09:07:00 2017,28.0,23.0
Sat Apr  1 09:08:00 2017,28.0,23.0
Sat Apr  1 09:09:00 2017,28.0,23.0
Sat Apr  1 09:10:00 2017,29.0,23.0
Sat Apr  1 09:11:00 2017,29.0,23.0
Sat Apr  1 09:12:00 2017,29.0,23.0
Sat Apr  1 09:13:00 2017,29.0,23.0
Sat Apr  1 09:14:02 2017,29.0,23.0
Sat Apr  1 09:15:00 2017,28.0,23.0
Sat Apr  1 09:16:00 2017,29.0,23.0
Sat Apr  1 09:17:07 2017,27.0,23.0
Sat Apr  1 09:18:02 2017,29.0,23.0
Sat Apr  1 09:19:00 2017,27.0,23.0
Sat Apr  1 09:20:00 2017,29.0,23.0
Sat Apr  1 09:21:00 2017,29.0,23.0
Sat Apr  1 09:22:00 2017,29.0,23.0
Sat Apr  1 09:23:00 2017,29.0,23.0
Sat Apr  1 09:24:00 2017,29.0,23.0
Sat Apr  1 09:25:00 2017,29.0,23.0
Sat Apr  1 09:26:02 2017,29.0,23.0
Sat Apr  1 09:27:04 2017,27.0,23.0
Sat Apr  1 09:28:00 2017,27.0,23.0
Sat Apr  1 09:29:05 2017,28.0,23.0
Sat Apr  1 09:30:00 2017,27.0,23.0
Sat Apr  1 09:31:00 2017,29.0,23.0
Sat Apr  1 09:32:00 2017,29.0,23.0
Sat Apr  1 09:33:00 2017,29.0,23.0
Sat Apr  1 09:34:02 2017,29.0,23.0
Sat Apr  1 09:35:00 2017,28.0,23.0
Sat Apr  1 09:36:00 2017,29.0,23.0
Sat Apr  1 09:37:00 2017,29.0,23.0
Sat Apr  1 09:38:00 2017,29.0,23.0
Sat Apr  1 09:39:00 2017,29.0,23.0
Sat Apr  1 09:40:00 2017,29.0,23.0
Sat Apr  1 09:41:00 2017,29.0,23.0
